genres,keywords,original_language,overview,tagline,title,vote_average,combined_text
"Comedy, Music, Romance","competition, roommate, college, female friendship, music, hazing, male female relationship, audition, group of friends, dorm room, bickering, dj, singing competition, film score, female musician, singing contest, young adult, acapella",en,"College student Beca knows she does not want to be part of a clique, but that's exactly where she finds herself after arriving at her new school. Thrust in among mean gals, nice gals and just plain weird gals, Beca finds that the only thing they have in common is how well they sing together. She takes the women of the group out of their comfort zone of traditional arrangements and into a world of amazing harmonic combinations in a fight to the top of college music competitions.",Get pitch slapped.,Pitch Perfect,7.3,"Pitch Perfect College student Beca knows she does not want to be part of a clique, but that's exactly where she finds herself after arriving at her new school. Thrust in among mean gals, nice gals and just plain weird gals, Beca finds that the only thing they have in common is how well they sing together. She takes the women of the group out of their comfort zone of traditional arrangements and into a world of amazing harmonic combinations in a fight to the top of college music competitions. Get pitch slapped. Comedy, Music, Romance competition, roommate, college, female friendship, music, hazing, male female relationship, audition, group of friends, dorm room, bickering, dj, singing competition, film score, female musician, singing contest, young adult, acapella"
"Comedy, Drama, Romance, Science Fiction","noises, alien life-form, erection, neue frau, alien, reproduction",en,"A highly-evolved planet, whose denizens feel no emotion and reproduce by cloning, plans to take over Earth from the inside by sending an operative, fashioned with a humming, mechanical penis, to impregnate an earthling and stay until the birth. The alien, Harold Anderson, goes to Phoenix as a banker and sets to work finding a mate. His approaches to women are inept, and the humming phallus doesn't help, but on the advice of a banking colleague, he cruises an AA meeting, meets Susan, and somehow convinces her to marry. The clock starts to tick: will she conceive, have a baby, and lose Harold (and the child) to his planet before he discovers emotion and starts to care?","To save his planet, an alien must find a woman on Earth to have his baby. There's just one problem.",What Planet Are You From?,5.4,"What Planet Are You From? A highly-evolved planet, whose denizens feel no emotion and reproduce by cloning, plans to take over Earth from the inside by sending an operative, fashioned with a humming, mechanical penis, to impregnate an earthling and stay until the birth. The alien, Harold Anderson, goes to Phoenix as a banker and sets to work finding a mate. His approaches to women are inept, and the humming phallus doesn't help, but on the advice of a banking colleague, he cruises an AA meeting, meets Susan, and somehow convinces her to marry. The clock starts to tick: will she conceive, have a baby, and lose Harold (and the child) to his planet before he discovers emotion and starts to care? To save his planet, an alien must find a woman on Earth to have his baby. There's just one problem. Comedy, Drama, Romance, Science Fiction noises, alien life-form, erection, neue frau, alien, reproduction"
"Mystery, Adventure, Comedy, Romance, Drama","parents kids relationship, loss of parents, looking for  birth parents, meteorite, janitor,  , woman director",en,"Joe Dirt is a janitor with a mullet hairdo, acid-washed jeans and a dream to find the parents that he lost at the Grand Canyon when he was a belligerent, trailer park-raised eight-year-old. Now, blasting Van Halen in his jacked-up economy car, the irrepressibly optimistic Joe hits the road alone in search of his folks.",He Came. He Cleaned. He Conquered.,Joe Dirt,5.5,"Joe Dirt Joe Dirt is a janitor with a mullet hairdo, acid-washed jeans and a dream to find the parents that he lost at the Grand Canyon when he was a belligerent, trailer park-raised eight-year-old. Now, blasting Van Halen in his jacked-up economy car, the irrepressibly optimistic Joe hits the road alone in search of his folks. He Came. He Cleaned. He Conquered. Mystery, Adventure, Comedy, Romance, Drama parents kids relationship, loss of parents, looking for  birth parents, meteorite, janitor,  , woman director"
"Comedy, Romance","lsd, looking for  birth parents, half-brother, independent film",en,"Adopted as a child, new father Mel Colpin (Ben Stiller) decides he cannot name his son until he knows his birth parents, and determines to make a cross-country quest to find them. Accompanied by his wife, Nancy (Patricia Arquette), and an inept yet gorgeous adoption agent, Tina (Tea Leoni), he departs on an epic road trip that quickly devolves into a farce of mistaken identities, wrong turns, and overzealous and love-struck ATF agents (Josh Brolin, Richard Jenkins).","A comedy about sex, love, family and other accidents waiting to happen.",Flirting with Disaster,6.3,"Flirting with Disaster Adopted as a child, new father Mel Colpin (Ben Stiller) decides he cannot name his son until he knows his birth parents, and determines to make a cross-country quest to find them. Accompanied by his wife, Nancy (Patricia Arquette), and an inept yet gorgeous adoption agent, Tina (Tea Leoni), he departs on an epic road trip that quickly devolves into a farce of mistaken identities, wrong turns, and overzealous and love-struck ATF agents (Josh Brolin, Richard Jenkins). A comedy about sex, love, family and other accidents waiting to happen. Comedy, Romance lsd, looking for  birth parents, half-brother, independent film"
"Action, Horror, Thriller, Science Fiction","duct tape gag, bandana, headshot, camoflage uniform, sadistic laughter, flashback, military unit",en,"Captain Mack leads an elite military unit on a search for a missing scientist, and comes face-to-face with an an ancient evil lying beneath the Middle Eastern desert. Evil that is not of this world. Evil that should never be unearthed.",An evil entombed for 2000 years... until now.,The Devil's Tomb,4.0,"The Devil's Tomb Captain Mack leads an elite military unit on a search for a missing scientist, and comes face-to-face with an an ancient evil lying beneath the Middle Eastern desert. Evil that is not of this world. Evil that should never be unearthed. An evil entombed for 2000 years... until now. Action, Horror, Thriller, Science Fiction duct tape gag, bandana, headshot, camoflage uniform, sadistic laughter, flashback, military unit"
"Comedy, Romance","overweight, beauty, hypnosis, overweight man, overweight woman, oberflächlichkeit, kompliment, obesity, fat suit, beauty standards, fat man, fat woman, attractiveness",en,"A shallow man falls in love with a 300 pound woman because of her ""inner beauty"".",Are You A Shallow Guy?,Shallow Hal,5.7,"Shallow Hal A shallow man falls in love with a 300 pound woman because of her ""inner beauty"". Are You A Shallow Guy? Comedy, Romance overweight, beauty, hypnosis, overweight man, overweight woman, oberflächlichkeit, kompliment, obesity, fat suit, beauty standards, fat man, fat woman, attractiveness"
"Comedy, Romance","celebrity, romantic comedy, male female relationship, movie star",en,"A small-town girl wins a date with a Hollywood star through a contest. When the date goes better than expected, a love triangle forms between the girl, the celebrity, and the girl's best friend.","In every love story, there's only room for one leading man.",Win a Date with Tad Hamilton!,5.5,"Win a Date with Tad Hamilton! A small-town girl wins a date with a Hollywood star through a contest. When the date goes better than expected, a love triangle forms between the girl, the celebrity, and the girl's best friend. In every love story, there's only room for one leading man. Comedy, Romance celebrity, romantic comedy, male female relationship, movie star"
Thriller,"lake, shark attack",en,"Meredith Hendricks happens to be the best cop in her quiet town on Lake Tahoe. When a black-market exotic species dealer named Clint is paroled from prison, something he let loose begins to make its presence known. Swimmers and land-lovers alike begin to become part of the food chain at an unbelievable rate. Meredith and her team discover that they're not just hunting one eating machine, but a whole family of them. Not everyone will make it out alive, but those who do will never forget this summer at Shark Lake.",In this lake you have to fight to survive,Shark Lake,4.4,"Shark Lake Meredith Hendricks happens to be the best cop in her quiet town on Lake Tahoe. When a black-market exotic species dealer named Clint is paroled from prison, something he let loose begins to make its presence known. Swimmers and land-lovers alike begin to become part of the food chain at an unbelievable rate. Meredith and her team discover that they're not just hunting one eating machine, but a whole family of them. Not everyone will make it out alive, but those who do will never forget this summer at Shark Lake. In this lake you have to fight to survive Thriller lake, shark attack"
Drama,"family's daily life, bible, platonic love, hope, church service, death of a friend, police everyday life",en,"Everything can change in an instant ... and take a lifetime to unravel. When Mac McDonald loses his son in an accident, the ensuing 17 years of bitterness and pain erodes his love for his family and leaves him angry with God ... and just about everyone else. Mac's rage stonewalls his career in the police department and makes for a combustible situation when he's partnered with Sam Wright, a rising star on the force who happens to be a part-time pastor and a loving family man. Can they somehow join forces to help one another when it's impossible for either of them to look past their differences-especially the most obvious one? Every day, we have the opportunity to rebuild relationships and heal deep wounds by extending and receiving God's grace. Offer THE GRACE CARD ... and never underestimate the power of God's love.",Never Underestimate The Power Of Grace ...,The Grace Card,6.5,"The Grace Card Everything can change in an instant ... and take a lifetime to unravel. When Mac McDonald loses his son in an accident, the ensuing 17 years of bitterness and pain erodes his love for his family and leaves him angry with God ... and just about everyone else. Mac's rage stonewalls his career in the police department and makes for a combustible situation when he's partnered with Sam Wright, a rising star on the force who happens to be a part-time pastor and a loving family man. Can they somehow join forces to help one another when it's impossible for either of them to look past their differences-especially the most obvious one? Every day, we have the opportunity to rebuild relationships and heal deep wounds by extending and receiving God's grace. Offer THE GRACE CARD ... and never underestimate the power of God's love. Never Underestimate The Power Of Grace ... Drama family's daily life, bible, platonic love, hope, church service, death of a friend, police everyday life"
Comedy,"mouse, idiot, mind control, taxidermy, aftercreditsstinger, duringcreditsstinger",en,"Rising executive Tim Wagner works for a boss who hosts a monthly dinner in which the guest who brings the biggest buffoon gets a career-boost. Tim plans on not attending until he meets Barry, a man who builds dioramas using stuffed mice. Barry's blundering but good intentions send Tim's life into a downward spiral, threatening a major business deal and possibly scuttling Tim's engagement to his fiancee.",Takes One To Know One.,Dinner for Schmucks,5.5,"Dinner for Schmucks Rising executive Tim Wagner works for a boss who hosts a monthly dinner in which the guest who brings the biggest buffoon gets a career-boost. Tim plans on not attending until he meets Barry, a man who builds dioramas using stuffed mice. Barry's blundering but good intentions send Tim's life into a downward spiral, threatening a major business deal and possibly scuttling Tim's engagement to his fiancee. Takes One To Know One. Comedy mouse, idiot, mind control, taxidermy, aftercreditsstinger, duringcreditsstinger"
"Science Fiction, Action, Adventure, Thriller","space opera, retribution, spacecraft officer, exploding ship",en,"When an alien race and factions within Starfleet attempt to take over a planet that has ""regenerative"" properties, it falls upon Captain Picard and the crew of the Enterprise to defend the planet's people as well as the very ideals upon which the Federation itself was founded.",The battle for paradise has begun.,Star Trek: Insurrection,6.3,"Star Trek: Insurrection When an alien race and factions within Starfleet attempt to take over a planet that has ""regenerative"" properties, it falls upon Captain Picard and the crew of the Enterprise to defend the planet's people as well as the very ideals upon which the Federation itself was founded. The battle for paradise has begun. Science Fiction, Action, Adventure, Thriller space opera, retribution, spacecraft officer, exploding ship"
"Drama, Western, Crime","small town, rancher",en,Two friends hired to police a small town that is suffering under the rule of a rancher find their job complicated by the arrival of a young widow.,Feelings get you killed.,Appaloosa,6.3,"Appaloosa Two friends hired to police a small town that is suffering under the rule of a rancher find their job complicated by the arrival of a young widow. Feelings get you killed. Drama, Western, Crime small town, rancher"
"Action, Thriller","guerrilla, colorado, invasion, anti-communism, near future, red army",en,"It is the mid-1980s. From out of the sky, Soviet and Cuban troops begin landing on the football field of a Colorado high school. In seconds, the paratroops have attacked the school and sent a group of teenagers fleeing into the mountains. Armed only with hunting rifles, pistols and bows and arrows, the teens struggles to survive the bitter winter and Soviet KGB patrols hunting for them.",,Red Dawn,6.4,"Red Dawn It is the mid-1980s. From out of the sky, Soviet and Cuban troops begin landing on the football field of a Colorado high school. In seconds, the paratroops have attacked the school and sent a group of teenagers fleeing into the mountains. Armed only with hunting rifles, pistols and bows and arrows, the teens struggles to survive the bitter winter and Soviet KGB patrols hunting for them.  Action, Thriller guerrilla, colorado, invasion, anti-communism, near future, red army"
Horror,"slapstick, teen angst, slaughter, dark comedy, supernatural being, killer clown, revenge killing",en,"The clumsy and unfunny clown Richard ""Stitches"" Grindle entertains at the 10th birthday party of little Tom, but the boy and his friends play a prank with Stitches, tying his shoelaces. Stitches slips, falls and dies. Six years later, Tom gives a birthday party for his friends at home, but Stitches revives to haunt the teenagers and revenge his death.",You'll die laughing...,Stitches,5.5,"Stitches The clumsy and unfunny clown Richard ""Stitches"" Grindle entertains at the 10th birthday party of little Tom, but the boy and his friends play a prank with Stitches, tying his shoelaces. Stitches slips, falls and dies. Six years later, Tom gives a birthday party for his friends at home, but Stitches revives to haunt the teenagers and revenge his death. You'll die laughing... Horror slapstick, teen angst, slaughter, dark comedy, supernatural being, killer clown, revenge killing"
"Adventure, Drama, Action","moses, bible, ancient egypt, 3d, ramses",en,"The defiant leader Moses rises up against the Egyptian Pharaoh Ramses, setting 400,000 slaves on a monumental journey of escape from Egypt and its terrifying cycle of deadly plagues.","Once brothers, now enemies.",Exodus: Gods and Kings,5.6,"Exodus: Gods and Kings The defiant leader Moses rises up against the Egyptian Pharaoh Ramses, setting 400,000 slaves on a monumental journey of escape from Egypt and its terrifying cycle of deadly plagues. Once brothers, now enemies. Adventure, Drama, Action moses, bible, ancient egypt, 3d, ramses"
"Science Fiction, Action, Horror","prison, android, spacecraft, space marine, imprisonment, space colony, space travel, rottweiler, dystopia, sequel, alien, redemption, outer space, planet, shaved head, crash landing, impregnation, penal colony, furnace, suspended animation, xenomorph",en,"After escaping with Newt and Hicks from the alien planet, Ripley crash lands on Fiorina 161, a prison planet and host to a correctional facility. Unfortunately, although Newt and Hicks do not survive the crash, a more unwelcome visitor does. The prison does not allow weapons of any kind, and with aid being a long time away, the prisoners must simply survive in any way they can.",The bitch is back.,Alien³,6.2,"Alien³ After escaping with Newt and Hicks from the alien planet, Ripley crash lands on Fiorina 161, a prison planet and host to a correctional facility. Unfortunately, although Newt and Hicks do not survive the crash, a more unwelcome visitor does. The prison does not allow weapons of any kind, and with aid being a long time away, the prisoners must simply survive in any way they can. The bitch is back. Science Fiction, Action, Horror prison, android, spacecraft, space marine, imprisonment, space colony, space travel, rottweiler, dystopia, sequel, alien, redemption, outer space, planet, shaved head, crash landing, impregnation, penal colony, furnace, suspended animation, xenomorph"
"Animation, Comedy, Family","peasant, farm, cow, cojote, family",en,"When things get crazy at the farm, it's up to a boisterous bovine named Otis (voiced by Kevin James) to save the day in this computer-animated tale. The animals in this barnyard sing, dance and party, but Otis's stern dad (Sam Elliott) warns the crew to keep their cool around humans. Troublemaker Otis rarely listens to his pop, but when the farmer disappears and the animals go nutty, the young cow realizes he must stop the madness.",What happens in the barn stays in the barn,Barnyard,5.3,"Barnyard When things get crazy at the farm, it's up to a boisterous bovine named Otis (voiced by Kevin James) to save the day in this computer-animated tale. The animals in this barnyard sing, dance and party, but Otis's stern dad (Sam Elliott) warns the crew to keep their cool around humans. Troublemaker Otis rarely listens to his pop, but when the farmer disappears and the animals go nutty, the young cow realizes he must stop the madness. What happens in the barn stays in the barn Animation, Comedy, Family peasant, farm, cow, cojote, family"
Horror,"racist, religion",en,"An idyllic island town is under attack by that most invasive of pests: zombies! Port Gamble is being overrun with braineaters, and the people seem powerless to stave them off. But wait, a rag tag band of rebels is trying to turn the tide and push the invading hordes of undead back.",They're just like you ... only dead,ZMD: Zombies of Mass Destruction,4.7,"ZMD: Zombies of Mass Destruction An idyllic island town is under attack by that most invasive of pests: zombies! Port Gamble is being overrun with braineaters, and the people seem powerless to stave them off. But wait, a rag tag band of rebels is trying to turn the tide and push the invading hordes of undead back. They're just like you ... only dead Horror racist, religion"
"Horror, Documentary, Mystery",exorcism,en,Documentary following US film-maker Joe Marino as he heads to Italy to investigate exorcisms and the truth behind rumors of demonic possession.,The public were never meant to know,The Vatican Exorcisms,4.4,"The Vatican Exorcisms Documentary following US film-maker Joe Marino as he heads to Italy to investigate exorcisms and the truth behind rumors of demonic possession. The public were never meant to know Horror, Documentary, Mystery exorcism"
"Animation, Science Fiction, Thriller","california, detective, based on novel, dream, undercover, cocaine, brain, exam, future, test, dystopia, assignment, cyberpunk, drug, surveillance, totalitarian, corporation, substance, schizophrenic, condition, neo-noir",en,An undercover cop in a not-too-distant future becomes involved with a dangerous new drug and begins to lose his own identity as a result.,Everything Is Not Going To Be OK,A Scanner Darkly,6.8,"A Scanner Darkly An undercover cop in a not-too-distant future becomes involved with a dangerous new drug and begins to lose his own identity as a result. Everything Is Not Going To Be OK Animation, Science Fiction, Thriller california, detective, based on novel, dream, undercover, cocaine, brain, exam, future, test, dystopia, assignment, cyberpunk, drug, surveillance, totalitarian, corporation, substance, schizophrenic, condition, neo-noir"
"Horror, Comedy, Thriller","prostitute, key, jesus christ, chosen one, god, good vs evil, blood, demon, crypt keeper",en,A man on the run is hunted by a demon known as the Collector.,Ready for your deadtime story?,Tales from the Crypt: Demon Knight,6.7,"Tales from the Crypt: Demon Knight A man on the run is hunted by a demon known as the Collector. Ready for your deadtime story? Horror, Comedy, Thriller prostitute, key, jesus christ, chosen one, god, good vs evil, blood, demon, crypt keeper"
"Horror, Mystery, Thriller","child abuse, detective, social worker, supernatural, murder, mental institution, youth, violence, danger, cityscape, drawn, falling elevator, pier, psychological, deadly, mind and soul, supernatural ability",en,"In her many years as a social worker, Emily Jenkins believes she has seen it all, until she meets 10-year-old Lilith and the girl's cruel parents. Emily's worst fears are confirmed when the parents try to harm the child, and so Emily assumes custody of Lilith while she looks for a foster family. However, Emily soon finds that dark forces surround the seemingly innocent girl, and the more she tries to protect Lilith, the more horrors she encounters.",Some cases should  never be opened.,Case 39,6.1,"Case 39 In her many years as a social worker, Emily Jenkins believes she has seen it all, until she meets 10-year-old Lilith and the girl's cruel parents. Emily's worst fears are confirmed when the parents try to harm the child, and so Emily assumes custody of Lilith while she looks for a foster family. However, Emily soon finds that dark forces surround the seemingly innocent girl, and the more she tries to protect Lilith, the more horrors she encounters. Some cases should  never be opened. Horror, Mystery, Thriller child abuse, detective, social worker, supernatural, murder, mental institution, youth, violence, danger, cityscape, drawn, falling elevator, pier, psychological, deadly, mind and soul, supernatural ability"
Drama,"san francisco, single parent, homeless person, bus, worker, homelessness, work, church service, bad luck, biography, salesman, stockbroker",en,"The true story of Christopher Gardner, who invests heavily in a device known as a 'Bone Density Scanner', only to find himself struggle to sell the product as it's just marginally better than the current technology, and much more expensive. His wife leaves him,  he loses his house, bank account and credit cards and, now forced to live out in the streets with his young son,  he's desperate to find a steady job. He takes on a job as a stockbroker but, before he can receive pay, he needs to go through 6 months of training, and must sell his devices.",,The Pursuit of Happyness,7.7,"The Pursuit of Happyness The true story of Christopher Gardner, who invests heavily in a device known as a 'Bone Density Scanner', only to find himself struggle to sell the product as it's just marginally better than the current technology, and much more expensive. His wife leaves him,  he loses his house, bank account and credit cards and, now forced to live out in the streets with his young son,  he's desperate to find a steady job. He takes on a job as a stockbroker but, before he can receive pay, he needs to go through 6 months of training, and must sell his devices.  Drama san francisco, single parent, homeless person, bus, worker, homelessness, work, church service, bad luck, biography, salesman, stockbroker"
"Drama, Romance","shakespeare, forbidden love, gun violence, star crossed lovers, shakespeare in modern dress, teenage romance, masquerade, shakespeare's romeo and juliet, gangster grip",en,"In director Baz Luhrmann's contemporary take on William Shakespeare's classic tragedy, the Montagues and Capulets have moved their ongoing feud to the sweltering suburb of Verona Beach, where Romeo and Juliet fall in love and secretly wed. Though the film is visually modern, the bard's dialogue remains.",My only love sprung from my only hate.,Romeo + Juliet,6.7,"Romeo + Juliet In director Baz Luhrmann's contemporary take on William Shakespeare's classic tragedy, the Montagues and Capulets have moved their ongoing feud to the sweltering suburb of Verona Beach, where Romeo and Juliet fall in love and secretly wed. Though the film is visually modern, the bard's dialogue remains. My only love sprung from my only hate. Drama, Romance shakespeare, forbidden love, gun violence, star crossed lovers, shakespeare in modern dress, teenage romance, masquerade, shakespeare's romeo and juliet, gangster grip"
"Action, Thriller, Crime","dystopia, based on comic book, held captive, based on graphic novel, black and white and color, black and white scene, black and white to color, mysterious killer, doing the right thing, mercedes, silhouette, neo-noir",en,"Welcome to Sin City. This town beckons to the tough, the corrupt, the brokenhearted. Some call it dark… Hard-boiled. Then there are those who call it home — Crooked cops, sexy dames, desperate vigilantes. Some are seeking revenge, others lust after redemption, and then there are those hoping for a little of both. A universe of unlikely and reluctant heroes still trying to do the right thing in a city that refuses to care.",Walk down the right back alley in Sin City and you can find anything...,Sin City,7.2,"Sin City Welcome to Sin City. This town beckons to the tough, the corrupt, the brokenhearted. Some call it dark… Hard-boiled. Then there are those who call it home — Crooked cops, sexy dames, desperate vigilantes. Some are seeking revenge, others lust after redemption, and then there are those hoping for a little of both. A universe of unlikely and reluctant heroes still trying to do the right thing in a city that refuses to care. Walk down the right back alley in Sin City and you can find anything... Action, Thriller, Crime dystopia, based on comic book, held captive, based on graphic novel, black and white and color, black and white scene, black and white to color, mysterious killer, doing the right thing, mercedes, silhouette, neo-noir"
"Horror, Mystery","film festivals, slaughter, slasher",en,"Two years after the terrifying events that occurred in Woodsboro, Sidney is now attending Windsor College in Cincinnati, and Gale Weathers' best selling book on Sidney's life has now been made into a major motion picture. When two college students are killed in a theatre while watching the new film 'Stab', Sidney knows deep down that history is repeating itself.",Someone has taken their love of sequels one step too far.,Scream 2,6.1,"Scream 2 Two years after the terrifying events that occurred in Woodsboro, Sidney is now attending Windsor College in Cincinnati, and Gale Weathers' best selling book on Sidney's life has now been made into a major motion picture. When two college students are killed in a theatre while watching the new film 'Stab', Sidney knows deep down that history is repeating itself. Someone has taken their love of sequels one step too far. Horror, Mystery film festivals, slaughter, slasher"
"Action, Thriller, Romance","paris, hotel, false identity, undercover agent, romance",en,"American tourist Frank (Johnny Depp) meets mysterious British woman Elsie (Angelina Jolie) on the train to Venice. Romance seems to bud, but there's more to her than meets the eye. Remake of the 2005 French film ""Anthony Zimmer"", written and directed by Jérôme Salle.",It all started when he met a woman,The Tourist,6.0,"The Tourist American tourist Frank (Johnny Depp) meets mysterious British woman Elsie (Angelina Jolie) on the train to Venice. Romance seems to bud, but there's more to her than meets the eye. Remake of the 2005 French film ""Anthony Zimmer"", written and directed by Jérôme Salle. It all started when he met a woman Action, Thriller, Romance paris, hotel, false identity, undercover agent, romance"
"Drama, History, War",,en,A noisy and absurd re-telling of the great 1950 invasion of Inchon during the Korean War which was masterminded by General Douglas MacArthur.,LOVE. DESTINY. HEROES. War Changes Everything.,Inchon,6.5,"Inchon A noisy and absurd re-telling of the great 1950 invasion of Inchon during the Korean War which was masterminded by General Douglas MacArthur. LOVE. DESTINY. HEROES. War Changes Everything. Drama, History, War "
"Adventure, Drama, Science Fiction","saving the world, artificial intelligence, father son relationship, single parent, nasa, expedition, wormhole, space travel, famine, black hole, dystopia, race against time, quantum mechanics, spaceship, space, rescue, family relationships, farmhouse, robot, astronaut, scientist, father daughter relationship, single father, farmer, space station, imax, astrophysics, zero gravity, courage, time paradox, relativity",en,Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,Mankind was born on Earth. It was never meant to die here.,Interstellar,8.1,"Interstellar Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage. Mankind was born on Earth. It was never meant to die here. Adventure, Drama, Science Fiction saving the world, artificial intelligence, father son relationship, single parent, nasa, expedition, wormhole, space travel, famine, black hole, dystopia, race against time, quantum mechanics, spaceship, space, rescue, family relationships, farmhouse, robot, astronaut, scientist, father daughter relationship, single father, farmer, space station, imax, astrophysics, zero gravity, courage, time paradox, relativity"
"Romance, Adventure, Drama","biography, christian, romance",en,"“The Perfect Wave” is the true story of Ian McCormack who grew up surfing the waters of New Zealand. Wanting to dive deeper, Ian sets out on a journey with his best friend that will change his life as they chase the perfect wave.",,The Perfect Wave,4.4,"The Perfect Wave “The Perfect Wave” is the true story of Ian McCormack who grew up surfing the waters of New Zealand. Wanting to dive deeper, Ian sets out on a journey with his best friend that will change his life as they chase the perfect wave.  Romance, Adventure, Drama biography, christian, romance"
Comedy,"europe, business trip",en,"A hard-working small business owner and his two associates travel to Europe to close the most important deal of their lives.  But what began as a routine business trip goes off the rails in every imaginable – and unimaginable – way, including unplanned stops at a massive sex fetish event and a global economic summit.",Best business trip ever.,Unfinished Business,5.0,"Unfinished Business A hard-working small business owner and his two associates travel to Europe to close the most important deal of their lives.  But what began as a routine business trip goes off the rails in every imaginable – and unimaginable – way, including unplanned stops at a massive sex fetish event and a global economic summit. Best business trip ever. Comedy europe, business trip"
Documentary,"obsession, camcorder, crush, dream girl",en,"Ever since the second grade when he first saw her in E.T. The Extraterrestrial, Brian Herzlinger has had a crush on Drew Barrymore. Now, 20 years later he's decided to try to fulfill his lifelong dream by asking her for a date. There's one small problem: She's Drew Barrymore and he's, well, Brian Herzlinger, a broke 27-year-old aspiring filmmaker from New Jersey.",,My Date with Drew,6.3,"My Date with Drew Ever since the second grade when he first saw her in E.T. The Extraterrestrial, Brian Herzlinger has had a crush on Drew Barrymore. Now, 20 years later he's decided to try to fulfill his lifelong dream by asking her for a date. There's one small problem: She's Drew Barrymore and he's, well, Brian Herzlinger, a broke 27-year-old aspiring filmmaker from New Jersey.  Documentary obsession, camcorder, crush, dream girl"
"Action, Adventure, Science Fiction","teleportation, transformation, telekinesis, portal, marvel comic, superhero, based on comic book, superhero team, fantastic four, body horror, invisible woman",en,"Four young outsiders teleport to a dangerous universe, which alters their physical form in shocking ways. Their lives irrevocably upended, the team must learn to harness their daunting new abilities and work together to save Earth from a former friend turned enemy.",Change is coming.,Fantastic Four,4.4,"Fantastic Four Four young outsiders teleport to a dangerous universe, which alters their physical form in shocking ways. Their lives irrevocably upended, the team must learn to harness their daunting new abilities and work together to save Earth from a former friend turned enemy. Change is coming. Action, Adventure, Science Fiction teleportation, transformation, telekinesis, portal, marvel comic, superhero, based on comic book, superhero team, fantastic four, body horror, invisible woman"
"Adventure, Action, Comedy, Thriller, Crime","rookie cop, dog biscuit, shooting practice, sitting on a toilet, judo throw, police psychologist, buddy cop, firing range, aftercreditsstinger",en,"Archetypal buddy cops Riggs and Murtaugh are back for another round of high-stakes action, this time setting their collective sights on bringing down a former Los Angeles police lieutenant turned black market weapons dealer. Lorna Cole joins as the beautiful yet hardnosed internal affairs sergeant who catches Riggs's eye.",The magic is back again!,Lethal Weapon 3,6.4,"Lethal Weapon 3 Archetypal buddy cops Riggs and Murtaugh are back for another round of high-stakes action, this time setting their collective sights on bringing down a former Los Angeles police lieutenant turned black market weapons dealer. Lorna Cole joins as the beautiful yet hardnosed internal affairs sergeant who catches Riggs's eye. The magic is back again! Adventure, Action, Comedy, Thriller, Crime rookie cop, dog biscuit, shooting practice, sitting on a toilet, judo throw, police psychologist, buddy cop, firing range, aftercreditsstinger"
"Comedy, Romance","graduation, innocence, coming of age, teenager, high school student, pie, teen comedy, teenage sexuality, exchange student, sitting on a toilet, voyeurism, virginity, laxative, prom night",en,"At a high-school party, four friends find that losing their collective virginity isn't as easy as they had thought. But they still believe that they need to do so before college. To motivate themselves, they enter a pact to all ""score."" by their senior prom.",There's nothing like your first piece.,American Pie,6.4,"American Pie At a high-school party, four friends find that losing their collective virginity isn't as easy as they had thought. But they still believe that they need to do so before college. To motivate themselves, they enter a pact to all ""score."" by their senior prom. There's nothing like your first piece. Comedy, Romance graduation, innocence, coming of age, teenager, high school student, pie, teen comedy, teenage sexuality, exchange student, sitting on a toilet, voyeurism, virginity, laxative, prom night"
"Crime, Thriller","berlin, male nudity, villa, milan, hitman, assignment, greed, insult, performance, russian mafia, party, woman director",en,"Tom Ripley - cool, urbane, wealthy, and murderous - lives in a villa in the Veneto with Luisa, his harpsichord-playing girlfriend. A former business associate from Berlin's underworld pays a call asking Ripley's help in killing a rival. Ripley - ever a student of human nature - initiates a game to turn a mild and innocent local picture framer into a hit man. The artisan, Jonathan Trevanny, who's dying of cancer, has a wife, young son, and little to leave them. If Ripley draws Jonathan into the game, can Ripley maintain control? Does it stop at one killing? What if Ripley develops a conscience?",,Ripley's Game,6.6,"Ripley's Game Tom Ripley - cool, urbane, wealthy, and murderous - lives in a villa in the Veneto with Luisa, his harpsichord-playing girlfriend. A former business associate from Berlin's underworld pays a call asking Ripley's help in killing a rival. Ripley - ever a student of human nature - initiates a game to turn a mild and innocent local picture framer into a hit man. The artisan, Jonathan Trevanny, who's dying of cancer, has a wife, young son, and little to leave them. If Ripley draws Jonathan into the game, can Ripley maintain control? Does it stop at one killing? What if Ripley develops a conscience?  Crime, Thriller berlin, male nudity, villa, milan, hitman, assignment, greed, insult, performance, russian mafia, party, woman director"
